iter	Passed	Remaining
347	4412	697
348	4424	684
349	4436	671
350	4449	659
351	4462	646
352	4475	633
353	4487	621
354	4499	608
355	4512	595
356	4525	583
357	4538	570
358	4550	557
359	4562	544
360	4575	532
361	4587	519
362	4601	507
363	4616	494
364	4637	482
365	4660	471
366	4689	460
367	4723	449
368	4744	437
369	4757	424
370	4771	411
371	4787	398
372	4802	386
373	4816	373
374	4828	360
375	4841	347
376	4855	334
377	4867	321
378	4880	309
379	4892	296
380	4905	283
381	4917	270
382	4929	257
383	4942	244
384	4955	231
385	4968	218
386	4981	205
387	4993	193
388	5007	180
389	5019	167
390	5031	154
391	5044	141
392	5057	128
393	5070	115
394	5082	102
395	5094	90
396	5108	77
397	5119	64
398	5132	51
399	5144	38
400	5157	25
401	5169	12
402	5181	0
