iter	Logloss
0	0.5835599922
1	0.5208362036
2	0.4821318637
3	0.3942227282
4	0.3828802941
5	0.3516638867
6	0.3454806151
7	0.3410767979
8	0.337066847
9	0.3331136647
10	0.3309114396
11	0.3288544841
12	0.3270215581
13	0.3251140758
14	0.3234808791
15	0.3214692845
16	0.3188654761
17	0.3180849693
18	0.3168679933
19	0.3154227551
20	0.3130808323
21	0.3111101536
22	0.3086762671
23	0.3047079373
24	0.3031296105
25	0.3013046585
26	0.2995256373
27	0.2984405343
28	0.29777467
29	0.296320813
30	0.2946731926
31	0.2931228576
32	0.2920518909
33	0.2908103685
34	0.2898696075
35	0.288377128
36	0.2875355662
37	0.2865502962
38	0.2855238707
39	0.2842582309
40	0.2831961528
41	0.2820962042
42	0.2801893594
43	0.2793082212
44	0.2775885855
45	0.2763492059
46	0.2753988443
47	0.2740288608
48	0.2730357244
49	0.2712149569
50	0.268978384
51	0.2677978667
52	0.2663787048
53	0.2651045077
54	0.2635964563
55	0.2626208807
56	0.2615840118
57	0.2599818152
58	0.2583737463
59	0.2551771879
60	0.2537266031
61	0.2518558487
62	0.250742532
63	0.2494606152
64	0.2482802236
65	0.2475139924
66	0.2462307255
67	0.2452173236
68	0.2439463852
69	0.2428473975
70	0.2415242381
71	0.2403142804
72	0.2395126865
73	0.2385945171
74	0.2376131544
75	0.2366645994
76	0.2354942505
77	0.2343728679
78	0.2331056337
79	0.2321983289
80	0.231425212
81	0.2303637235
82	0.2290274356
83	0.2280862128
84	0.2268307797
85	0.2257819152
86	0.2243117938
87	0.2231434956
88	0.2221857446
89	0.2213071595
90	0.2203453433
91	0.2190952724
92	0.2182596579
93	0.2171802084
94	0.2162424789
95	0.2155368155
96	0.2143729145
97	0.2131107135
98	0.2123050771
99	0.2114684361
100	0.2106960874
101	0.2097131778
102	0.2086156699
103	0.2078500889
104	0.2069757519
105	0.2062553636
106	0.2048138666
107	0.2036370241
108	0.202364697
109	0.2011179838
110	0.2000888028
111	0.1989661721
112	0.198052333
113	0.1970257191
114	0.1959938688
115	0.1950739157
116	0.1941220725
117	0.1933061173
118	0.1918718501
119	0.190719866
120	0.1900896061
121	0.1894846113
122	0.1889008991
123	0.1882212739
124	0.1875333699
125	0.1868812795
126	0.1861809668
127	0.1852243573
128	0.1845305642
129	0.1837679163
130	0.1828635652
131	0.182257367
132	0.181756029
133	0.1811506519
134	0.1800977574
135	0.1794592401
136	0.1781950027
137	0.1774510584
138	0.1769318942
139	0.175751789
140	0.174879888
141	0.1739064301
142	0.1734896255
143	0.1729356977
144	0.1720220613
145	0.1715966563
146	0.1708097168
147	0.1702968746
148	0.1694801832
149	0.1685034263
150	0.1679599935
151	0.1672007325
152	0.1668299251
153	0.1663086699
154	0.1656892282
155	0.1652624153
156	0.1648091648
157	0.1636730797
158	0.1630910624
159	0.1624801806
160	0.1616399992
161	0.1612539454
162	0.1607705486
163	0.1602779849
164	0.1595131856
165	0.1586929625
166	0.1580005893
167	0.1571660474
168	0.1566285635
169	0.1557591852
170	0.1553178483
171	0.1547100704
172	0.1541941747
173	0.1536300307
174	0.1527815543
175	0.1521252503
176	0.1513992557
177	0.1510857728
178	0.1506224994
179	0.1502162679
180	0.1492943616
181	0.1485398856
182	0.1481705024
183	0.1474100688
184	0.1468121312
185	0.1463018678
186	0.1455901257
187	0.144998119
188	0.1445856368
189	0.1439924319
190	0.1435228828
191	0.1430653094
192	0.142592798
193	0.1421357098
194	0.1416215831
195	0.1410275454
196	0.140683085
197	0.1399098702
198	0.1389653446
199	0.1381880062
200	0.1373907344
201	0.1368992199
202	0.1362616747
203	0.1357483766
204	0.1352805974
205	0.1349319012
206	0.1342311193
207	0.1336657355
208	0.1330874309
209	0.1325342424
210	0.1319728911
211	0.1313781996
212	0.1308598742
213	0.130384285
214	0.1299399712
215	0.1295096078
216	0.1291055814
217	0.1286818901
218	0.1280525656
219	0.1274776984
220	0.1270936341
221	0.1266517778
222	0.1262336964
223	0.1257926002
224	0.1252257182
225	0.1248163956
226	0.1242435404
227	0.1239832414
228	0.1236109346
229	0.123169841
230	0.1228657793
231	0.1224075041
232	0.1218140587
233	0.1213235004
234	0.1207870491
235	0.1203969532
236	0.1198884596
237	0.1192416056
238	0.1187246289
239	0.1183640227
240	0.1177951864
241	0.1172644006
242	0.1169846111
243	0.116581412
244	0.1159541087
245	0.1153433302
246	0.1150185782
247	0.1144476657
248	0.1139039107
249	0.1135124338
